"Data Source","World Development Indicators",

"Last Updated Date","2026-04-08",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.028493276","","","2.22972096","3.777528741","4.155977424","6.377808073","13.81422174","16.8993138878562","58.6899950168872","67.6304183674586","75.7794388473621","105.552873526225","109.74954897591","114.296796377055","117.599676975162","123.517202597004","129.26028780611","131.649919092235","","132.661183337755","135.338052614131","135.141671422905","135.337479843354","","","","131.682169673877","131.284916201117","131.09206195727","130.647974615427","","","",
"Africa Eastern and Southern","AFE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.00134257553672072","0.00258214265567223","0.00306012952109055","0.00582416440279694","0.0160281568745268","0.117720610098511","0.164300729636764","0.285421858668388","0.537893874347061","0.963135057510966","1.5364967739772","2.53187461998447","3.48511266478186","4.59739340752445","6.07988901464806","8.01544755486436","12.59131987433","16.9490525169552","21.6849919782563","28.1203044455646","32.6088889551093","38.5271319772483","48.0159935090946","52.7679765565158","57.6880768277277","61.9358160623131","66.5","63.6","63.5","65.2","67.9","69.9","74.7","77.7","82.3","87.3","93.1",
"Afghanistan","AFG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.116942011309976","0.879776399549396","2.54661861253936","4.91711244047067","9.91329720539894","18.0166833836025","29.8267633771309","38.2289426518893","36.1186814254474","47.0151842862822","50.1966555403702","53.1490159728276","56.1322103822265","58.256016446556","62.2553342863232","67.0507903920361","59.8109345283062","59.6470805870469","58.0461137722591","56.6944760468967","56.2655188632539","55.5474967036959","60.0990815591219","",
"Africa Western and Central","AFW","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.000405567623636312","0.00558115607144699","0.00959570091410311","0.0125531304913285","0.025856289147414","0.0465887994019213","0.0980257325747414","0.20622679893449","0.530892742687222","1.04987624556741","2.09477956084382","3.32309173202265","6.46046333370717","11.1025063085919","18.7872335012222","25.0392998212097","36.8661001562175","44.3449799979514","52.27223728058","58.249872484352","67.1094646656648","75.0120031475166","80.2975320892204","83.3","82.9","81.4","87.8","91.3","96.7","95.2","102.1","101.4","91.8","86.5",
"Angola","AGO","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008436702","0.013549219","0.01433269","0.02292929","0.04742069","0.063903735","0.151221568","0.159346765941731","0.447835842249048","0.807954939660482","1.95054401229801","3.97840414704547","8.35158651156351","15.2614410221311","23.8781501760396","31.3891482115081","36.1789120059347","40.3667552771914","49.8515258181069","50.7801125088641","50.7734882643713","51.7384393645114","49.3097223014385","44.5502272379157","44.0682088632918","42.4588784507729","45.8065312825399","43.7804317055698","44.3868689341257","66.6008073123779","70.0519587723571","69.7039467163584","",
"Albania","ALB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.070307774","0.101422403","0.173257946","0.343114336","0.940922534259296","12.473224578717","27.1529999757506","35.2780293564518","40.6495459161824","49.7452829974003","62.6025752513514","76.8284093980357","62.1341628437685","83.1929248865178","91.9299271149669","106.474179667965","120.274748763232","126.771812779937","115.700565028176","117.329657576402","116.284011654089","125.099939894598","93.8030862083918","91.1634968336332","91.1880900599383","92.4843357131703","98.3950391992101","92.9973271969712","89.1328603947682","",
"Andorra","AND","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.344203341","1.318547569","1.284466799","4.489257564","8.555349432","13.32364491","21.65649066","31.37613282","35.8422775367283","44.6896069975096","49.3038222115298","74.6812307515183","78.5280861083081","83.388228000155","86.7047810517057","77.5590214590178","76.8932271393497","76.9466431432386","81.1525784947835","83.6223853541262","83.1207538329385","85.0214112828151","89.8341402552314","98.8389170615457","105.473739626772","108.912327318574","109.914584497485","114.952794413788","103.876970793487","119.687611658415","142.426447525249","156.09725932522","155.692108667529","",
"Arab World","ARB","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0.00139135029448582","0.00206452793552855","0.00277542509376027","0.00454385232052265","0.011489686324028","0.0174495848946617","0.0198658484390306","0.0288731721004244","0.0391611129825038","0.0567169465116559","0.0642451336720986","0.0818781227277993","0.105305831302216","0.197651290165998","0.354623216561879","0.608151128959064","0.928146209147479","1.47667988359235","3.14235571585315","5.674469873018","8.4137897725289","11.4425320694818","16.6252188547319","26.4479394294001","38.2910994488433","51.6630400128938","61.7078304449257","74.4957914017246","85.6094564648384","94.4751848643954","100.300841931146","104.741398824987","104.242109611802","102.997439000868","100.424978952655","98.1963031894916","96.4014579839673","96.7326519819152","96.2300336647374","99.2339505781343","102.925568544421","","","",
"United Arab Emirates","ARE","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","","","","","","","","","","","","","","","","","","","","","","","0.199510899","0.287983245","0.377274558","0.574396029","0.761967402","0.870037547","0.820998752","1.392200196","1.767122718","2.14142422","2.311609649","3.174853055","3.928169053","5.298629246","7.534161116","11.26583053","16.88654733","26.86844465","40.8783266424794","51.2758654953956","61.3641085051503","70.897113554176","83.1597300228247","97.1992951451191","110.185322712663","137.457950604795","148.472693451531","159.114145128907","157.472576744687","162.893623558443","183.740632066882","205.105475119726","204.191832969644","206.839413263939","220.411614691071","214.701342068567","214.842134318761","209.033214126867","194.467749671801","186.30089463245","195.624592490241","199.423843889179","203.206410299544","",
"Argentina","ARG","Mobile cellular subscriptions (per 100 people)","IT.CEL.SETS.P2","0","","","","","0","","","","","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.007150459","0.036767345","0.075515553","0.13879172","0.329148059","0.6992523","1.160057586","1.884803688","5.609433289","7.371312411","10.50082052","17.4341720574717","17.9184647370453","17.2675582745316","20.4095759030709","34.8114495095259","56.4972976242395","79.5272791470117","100.962116800902","115.051958547154","128.461625505194","138.251643415992","145.511067881505","152.573579717014","158.190773641398","142.325481008062","142.240711022183","145.146584717972","139.758240519621","131.224265691711","125.302657911726","121.180612527028","130.352799939601","131.483556254876","137.706086781571","140.234979049333","",
